segment_id,emotion,KEM_neutral,KEM_angry,KEM_happy,KEM_surprise,KEM_sad,KEM_fear,KEM_disgust
000-087,surprise,0.7467,0.0116,0.0381,0.1499,0.0381,0.014,0.0015
000-088,surprise,0.5802,0.3436,0.001,0.0032,0.0027,0.0005,0.0689
000-089,surprise,0.8437,0.0136,0.0447,0.0287,0.0599,0.006,0.0035
000-091,surprise,0.7445,0.0131,0.0422,0.0223,0.1723,0.0041,0.0013
000-092,surprise,0.0764,0.004,0.0005,0.0119,0.9046,0.0018,0.0008
000-097,surprise,0.5442,0.021,0.0036,0.3558,0.0302,0.0436,0.0016
000-099,surprise,0.6008,0.0517,0.0016,0.0846,0.2475,0.0063,0.0076
000-101,neutral,0.9697,0.0134,0.001,0.0008,0.004,0.0002,0.0109
000-102,neutral,0.5612,0.2302,0.0005,0.1821,0.0017,0.0075,0.0168
000-103,neutral,0.8873,0.0284,0.0007,0.0038,0.0252,0.0013,0.0534
000-105,neutral,0.86,0.0105,0.0799,0.0055,0.0185,0.0005,0.025
000-107,neutral,0.9429,0.0032,0.0205,0.0039,0.0165,0.0023,0.0108
000-108,neutral,0.8829,0.0044,0.0027,0.0018,0.1061,0.0004,0.0018
000-109,neutral,0.1623,0.0239,0.7498,0.0184,0.0394,0.0035,0.0027
000-110,neutral,0.5191,0.0744,0.0046,0.0446,0.1615,0.0071,0.1888
000-111,neutral,0.8616,0.037,0.0005,0.0062,0.0043,0.0003,0.0901
000-113,neutral,0.9384,0.0043,0.0457,0.0039,0.0039,0.0004,0.0033
000-114,neutral,0.6974,0.0482,0.002,0.0132,0.2283,0.0047,0.0062
000-115,neutral,0.9244,0.0203,0.0031,0.0041,0.0205,0.0009,0.0266
000-116,neutral,0.9515,0.0273,0.0005,0.0012,0.0036,0.0002,0.0156
000-118,neutral,0.9281,0.0167,0.0005,0.0181,0.0013,0.0094,0.0259
000-119,neutral,0.7702,0.0383,0.0015,0.1698,0.0085,0.009,0.0027
000-120,neutral,0.3488,0.0148,0.6058,0.0101,0.0146,0.002,0.0038
000-123,neutral,0.92,0.0345,0.001,0.0115,0.002,0.0006,0.0303
000-124,neutral,0.9387,0.018,0.001,0.0016,0.0328,0.0002,0.0077
000-127,neutral,0.8511,0.0055,0.1174,0.0038,0.0123,0.0034,0.0063
000-128,neutral,0.806,0.0809,0.0352,0.0168,0.004,0.001,0.0561
000-151,fear,0.779,0.0189,0.0013,0.0054,0.1727,0.0073,0.0153
000-152,fear,0.1092,0.0352,0.0071,0.117,0.0907,0.5771,0.0637
000-153,fear,0.4856,0.007,0.01,0.0046,0.4867,0.0042,0.0019
000-154,fear,0.929,0.0126,0.0178,0.0026,0.0286,0.0003,0.0092
000-158,fear,0.9248,0.0064,0.0038,0.0015,0.0597,0.0008,0.003
000-171,fear,0.5833,0.0793,0.0002,0.0096,0.0013,0.0102,0.3159
000-172,fear,0.283,0.4799,0.0011,0.0032,0.0014,0.0012,0.2301
000-179,fear,0.8484,0.0097,0.0023,0.0104,0.1242,0.0017,0.0032
000-181,fear,0.1388,0.0986,0.0013,0.2588,0.401,0.0745,0.0271
000-182,fear,0.0831,0.0042,0.0011,0.3571,0.0044,0.5444,0.0057
000-183,fear,0.3072,0.582,0.0003,0.0125,0.0019,0.0031,0.0929
000-184,fear,0.7555,0.1732,0.0031,0.0031,0.0085,0.0008,0.0558
000-185,fear,0.8778,0.0061,0.0025,0.0031,0.1073,0.0013,0.0019
000-186,fear,0.0159,0.0083,0.917,0.0231,0.0193,0.0155,0.0009
000-187,fear,0.4861,0.3882,0.0159,0.0113,0.0735,0.0018,0.0231
000-189,fear,0.7841,0.0034,0.1131,0.0029,0.0131,0.0052,0.0783
000-192,fear,0.9526,0.0047,0.0015,0.0016,0.0372,0.0003,0.002
000-197,fear,0.0344,0.0029,0.0002,0.0187,0.0006,0.9322,0.011
000-199,fear,0.3443,0.1226,0.0006,0.0135,0.4837,0.0006,0.0347
000-200,fear,0.933,0.0019,0.0076,0.0021,0.0511,0.0011,0.0031
000-201,disgust,0.3484,0.0216,0.0006,0.4688,0.0084,0.1241,0.0281
000-202,disgust,0.1581,0.0437,0.0011,0.4091,0.001,0.3658,0.0212
000-204,disgust,0.9422,0.0106,0.0101,0.0164,0.0175,0.0012,0.0021
000-206,disgust,0.9144,0.0149,0.0006,0.0022,0.0085,0.001,0.0584
000-208,disgust,0.402,0.5683,0.0003,0.0027,0.0017,0.0005,0.0245
000-209,disgust,0.8544,0.0214,0.0145,0.0607,0.0133,0.0043,0.0314
000-210,disgust,0.6944,0.0046,0.2042,0.01,0.0795,0.0044,0.0029
000-211,disgust,0.4456,0.0043,0.3295,0.0073,0.1951,0.0132,0.005
000-212,disgust,0.7358,0.0066,0.0196,0.1507,0.0813,0.0042,0.0018
000-216,disgust,0.9539,0.0017,0.004,0.0014,0.0372,0.0004,0.0013
000-218,disgust,0.1944,0.7387,0.0012,0.0029,0.0014,0.0006,0.0607
000-221,disgust,0.5949,0.1407,0.0037,0.0035,0.0097,0.0023,0.2452
000-222,disgust,0.3716,0.0483,0.0015,0.0023,0.4073,0.0038,0.1652
000-225,disgust,0.0212,0.0026,0.0002,0.0003,0.9752,0.0001,0.0003
000-232,disgust,0.4158,0.0284,0.0024,0.0023,0.4761,0.0008,0.0743
000-238,disgust,0.635,0.0062,0.281,0.0033,0.0667,0.0024,0.0053
000-241,disgust,0.9275,0.005,0.0042,0.0014,0.0528,0.0004,0.0088
000-244,disgust,0.2313,0.0542,0.0034,0.6378,0.0048,0.0568,0.0116
000-245,disgust,0.7122,0.0336,0.0856,0.0393,0.0727,0.004,0.0526
000-248,disgust,0.9043,0.0046,0.0104,0.0021,0.0765,0.0006,0.0015
000-251,angry,0.4741,0.4763,0.0069,0.0029,0.0158,0.0002,0.0238
000-252,angry,0.8394,0.0455,0.0018,0.008,0.0029,0.0016,0.1008
000-255,angry,0.3807,0.5819,0.0012,0.0023,0.0027,0.0005,0.0306
000-257,angry,0.1619,0.8214,0.0003,0.0035,0.0026,0.0005,0.0099
000-258,angry,0.021,0.0392,0.0002,0.2846,0.0004,0.644,0.0105
000-263,angry,0.8054,0.1643,0.0007,0.002,0.0102,0.0002,0.0172
000-264,angry,0.6451,0.2266,0.0017,0.0062,0.0877,0.0009,0.0318
000-267,angry,0.9326,0.0066,0.0074,0.0034,0.0481,0.0006,0.0012
000-271,angry,0.6542,0.0086,0.0044,0.0078,0.073,0.0016,0.2503
000-275,angry,0.9353,0.0012,0.0424,0.001,0.0121,0.0008,0.0072
000-277,angry,0.827,0.0384,0.0039,0.0639,0.0013,0.013,0.0524
000-280,angry,0.7981,0.0053,0.0744,0.0262,0.011,0.074,0.0109
000-285,angry,0.6207,0.0307,0.2925,0.0026,0.0363,0.0029,0.0143
000-287,angry,0.3215,0.1304,0.0008,0.0098,0.0004,0.002,0.535
000-289,angry,0.0386,0.9528,0.0003,0.0017,0.001,0.0004,0.0053
000-292,angry,0.3372,0.4185,0.0055,0.0033,0.2223,0.0012,0.012
000-294,angry,0.8641,0.0332,0.0367,0.0125,0.0124,0.0126,0.0285
000-296,angry,0.8555,0.1226,0.0059,0.0034,0.0104,0.0002,0.002
000-297,angry,0.5321,0.3393,0.0007,0.0083,0.0053,0.0017,0.1126
000-298,angry,0.7726,0.0152,0.0043,0.0044,0.2004,0.0006,0.0024
000-301,sad,0.5496,0.0019,0.168,0.0029,0.2709,0.0018,0.005
000-302,sad,0.0079,0.0022,4.11E-05,0.0005,0.9881,0.0011,0.0002
000-305,sad,0.3862,0.004,0.256,0.0036,0.3437,0.0025,0.0039
000-313,sad,0.1267,0.0282,0.0006,0.0042,0.8289,0.0046,0.0067
000-314,sad,0.6401,0.0036,0.0103,0.0031,0.3391,0.0021,0.0017
000-321,sad,0.837,0.0022,0.014,0.0029,0.1414,0.0012,0.0012
000-323,sad,0.8038,0.002,0.0319,0.0014,0.1526,0.0009,0.0073
000-326,sad,0.1966,0.0291,0.0008,0.0025,0.7635,0.0024,0.0052
000-328,sad,0.1133,0.0111,0.0011,0.4159,0.0051,0.4478,0.0056
000-329,sad,0.8602,0.0072,0.0007,0.0089,0.1092,0.0072,0.0066
000-331,sad,0.9313,0.0336,0.0012,0.0017,0.0207,0.0002,0.0113
000-336,sad,0.0072,0.0011,0.0004,0.0005,0.9903,0.0004,0.0002
000-339,sad,0.3306,0.2546,0.0002,0.0116,0.3843,0.0038,0.0149
000-342,sad,0.6064,0.0024,0.0025,0.0025,0.3838,0.0007,0.0016
000-343,sad,0.5824,0.0202,0.3103,0.0096,0.0638,0.0019,0.0117
000-344,sad,0.1189,0.0063,0.0062,0.0007,0.8644,0.0004,0.0031
000-346,sad,0.2897,0.0072,0.509,0.0061,0.1719,0.0102,0.0058
000-347,sad,0.2889,0.0047,0.0062,0.0006,0.6929,0.0019,0.0048
000-348,sad,0.9003,0.0232,0.0008,0.0016,0.0192,0.0007,0.0542
000-349,sad,0.0454,0.0256,0.0002,0.0023,0.9238,0.0018,0.0009
001-003,happy,0.8473,0.0424,0.0139,0.0471,0.0074,0.0208,0.0212
001-004,happy,0.7213,0.0227,0.1999,0.0311,0.0123,0.0062,0.0066
001-011,happy,0.5366,0.0046,0.0024,0.0009,0.4542,0.0003,0.001
001-012,happy,0.7638,0.0444,0.1026,0.0146,0.0406,0.0009,0.0331
001-013,happy,0.8882,0.0166,0.0037,0.0014,0.0811,0.0005,0.0085
001-014,happy,0.0585,0.6143,0.0067,0.0093,0.0017,0.0101,0.2995
001-015,happy,0.2756,0.4383,0.001,0.0076,0.0005,0.0004,0.2766
001-016,happy,0.424,0.0393,0.0471,0.039,0.4175,0.0277,0.0054
001-017,happy,0.9566,0.0132,0.0042,0.0041,0.02,0.0005,0.0014
001-020,happy,0.9296,0.0194,0.0057,0.0044,0.006,0.0003,0.0345
001-021,happy,0.2235,0.0049,0.5539,0.0064,0.1972,0.0111,0.0031
001-022,happy,0.0279,0.0085,0.0003,0.0012,0.9615,0.0003,0.0003
001-023,happy,0.8767,0.0152,0.0053,0.0044,0.0948,0.0026,0.0011
001-024,happy,0.6308,0.1192,0.0406,0.0104,0.0248,0.0032,0.171
001-026,happy,0.9255,0.0149,0.0264,0.0156,0.0039,0.0027,0.0108
001-027,happy,0.1694,0.0043,0.7862,0.0143,0.0044,0.0199,0.0014
001-028,happy,0.0057,0.008,0.0031,0.223,0.0003,0.7585,0.0014
001-029,happy,0.7868,0.1128,0.0122,0.0286,0.0334,0.0097,0.0165
001-030,happy,0.1514,0.7099,0.0052,0.0264,0.0021,0.0041,0.1009
001-031,happy,0.1056,0.0037,0.8474,0.0152,0.0177,0.007,0.0034
001-032,happy,0.6502,0.2494,0.0382,0.0055,0.0038,0.0002,0.0526
001-033,happy,0.488,0.0868,0.0134,0.008,0.3925,0.0078,0.0036
001-036,happy,0.9115,0.0178,0.0263,0.0025,0.0329,0.0004,0.0087
001-037,happy,0.1427,0.0082,0.8216,0.0122,0.0123,0.0017,0.0014
001-040,happy,0.1092,0.0293,0.1082,0.6292,0.0019,0.11,0.0124
001-042,happy,0.1693,0.0059,0.7698,0.0096,0.0367,0.006,0.0027
001-043,happy,0.9497,0.0035,0.0216,0.0014,0.0173,0.0004,0.0061
001-045,happy,0.0077,0.0021,0.9703,0.0117,0.0045,0.0034,0.0003
001-046,happy,0.2951,0.1401,0.0012,0.003,0.0028,0.001,0.5567
001-047,happy,0.6161,0.0062,0.3186,0.0095,0.0393,0.0039,0.0064
001-048,happy,0.291,0.0144,0.2361,0.0062,0.4464,0.002,0.0039
001-050,happy,0.6095,0.1521,0.0127,0.1716,0.0092,0.0132,0.0318
001-051,surprise,0.4284,0.0053,0.5192,0.0074,0.0327,0.002,0.0051
001-056,surprise,0.4125,0.0159,0.4592,0.0654,0.0283,0.0161,0.0027
001-060,surprise,0.3127,0.5336,0.0011,0.0099,0.0004,0.0004,0.1419
001-061,surprise,0.1544,0.0317,0.0022,0.0046,0.0153,0.0006,0.7912
001-062,surprise,0.5904,0.3756,0.0003,0.0064,0.0063,0.0034,0.0175
001-063,surprise,0.9438,0.0122,0.0122,0.0119,0.0041,0.0016,0.0142
001-066,surprise,0.9278,0.037,0.0012,0.0092,0.0171,0.0006,0.0071
001-068,surprise,0.6877,0.0163,0.0159,0.0054,0.2718,0.0007,0.0021
001-069,surprise,0.1133,0.6826,0.0032,0.1734,0.0005,0.0143,0.0126
001-070,surprise,0.0844,0.005,0.0027,0.0016,0.9051,0.0005,0.0008
001-071,surprise,0.8228,0.1071,0.0006,0.0164,0.0038,0.0003,0.0491
001-073,surprise,0.8094,0.0375,0.0105,0.0119,0.1263,0.0015,0.0029
001-075,surprise,0.0612,0.002,0.0012,0.0139,0.0028,0.9157,0.0032
001-078,surprise,0.4166,0.2367,0.189,0.0086,0.0615,0.0017,0.0859
001-082,surprise,0.9323,0.014,0.0112,0.0045,0.0347,0.0008,0.0024
001-085,surprise,0.0549,0.0484,0.0003,0.4784,0.0018,0.407,0.0093
001-086,surprise,0.584,0.3769,0.0002,0.0163,0.0032,0.0034,0.0161
001-087,surprise,0.7007,0.0326,0.0491,0.1892,0.0176,0.0087,0.0021
001-088,surprise,0.3965,0.5528,0.0004,0.0034,0.0012,0.0003,0.0454
001-089,surprise,0.5291,0.0296,0.2806,0.1053,0.036,0.0154,0.0041
001-090,surprise,0.0084,0.9732,0.0001,0.0133,4.96E-05,0.0014,0.0036
001-091,surprise,0.7792,0.0305,0.0506,0.0299,0.1051,0.0033,0.0014
001-092,surprise,0.1099,0.0142,0.0004,0.0268,0.8458,0.0019,0.0011
001-093,surprise,0.8413,0.0143,0.0095,0.0095,0.1202,0.0009,0.0043
001-094,surprise,0.8517,0.0127,0.0018,0.0057,0.1249,0.001,0.0021
001-095,surprise,0.4733,0.3607,0.0003,0.0342,0.0005,0.005,0.1261
001-096,surprise,0.1343,0.8399,0.0036,0.0158,0.003,0.0006,0.0027
001-097,surprise,0.1502,0.0587,0.0048,0.7219,0.0047,0.0585,0.0012
001-098,surprise,0.8253,0.0299,0.0314,0.012,0.0968,0.0015,0.0032
001-099,surprise,0.2886,0.2267,0.004,0.3658,0.0845,0.0213,0.0091
001-100,surprise,0.3368,0.1424,0.0064,0.4169,0.0799,0.0085,0.0091
001-101,neutral,0.9634,0.02,0.0011,0.0009,0.0025,0.0002,0.0121
001-102,neutral,0.5407,0.2969,0.0005,0.1412,0.001,0.0039,0.0159
001-103,neutral,0.87,0.0477,0.0004,0.0025,0.0081,0.0005,0.0708
001-104,neutral,0.94,0.0183,0.0009,0.0122,0.024,0.0014,0.0032
001-105,neutral,0.7906,0.0202,0.1312,0.0086,0.011,0.0007,0.0377
001-106,neutral,0.9186,0.0212,0.0024,0.0014,0.0515,0.0002,0.0047
001-108,neutral,0.9088,0.007,0.0018,0.0018,0.0789,0.0002,0.0015
001-109,neutral,0.3267,0.0315,0.5708,0.0156,0.0489,0.0026,0.004
001-112,neutral,0.9673,0.0145,0.0034,0.0028,0.0092,0.0004,0.0024
001-113,neutral,0.9406,0.0066,0.0422,0.0044,0.0027,0.0003,0.0033
001-114,neutral,0.704,0.0457,0.0017,0.0118,0.2269,0.0041,0.0057
001-116,neutral,0.9257,0.0497,0.0006,0.0015,0.0026,0.0002,0.0196
001-117,neutral,0.0266,0.9582,0.0002,0.0107,9.48E-05,0.0008,0.0035
001-118,neutral,0.8571,0.0589,0.0007,0.0385,0.0007,0.0096,0.0345
001-119,neutral,0.7467,0.0616,0.0017,0.1772,0.005,0.0049,0.0029
001-121,neutral,0.955,0.0239,0.0093,0.0018,0.0027,0.0001,0.0072
001-123,neutral,0.9378,0.0242,0.0007,0.0068,0.0019,0.0003,0.0283
001-124,neutral,0.8973,0.0817,0.0012,0.0022,0.0089,9.73E-05,0.0086
001-125,neutral,0.9832,0.0078,0.0015,0.0013,0.0018,0.0002,0.0042
001-128,neutral,0.6473,0.2066,0.0429,0.0177,0.0017,0.0007,0.0832
001-140,neutral,0.9314,0.0436,0.0016,0.0016,0.0019,0.0001,0.0197
001-141,neutral,0.9305,0.0026,0.0068,0.0017,0.0566,0.0006,0.0012
001-142,neutral,0.9589,0.0247,0.001,0.0016,0.0059,0.0001,0.0077
001-143,neutral,0.514,0.3155,0.0006,0.0826,0.0007,0.0166,0.0701
001-144,neutral,0.8669,0.1135,0.0012,0.0008,0.0092,0.0002,0.0083
001-145,neutral,0.9484,0.031,0.0018,0.0035,0.0005,0.0002,0.0146
001-146,neutral,0.8994,0.0643,0.0011,0.0006,0.0015,0.0001,0.033
001-147,neutral,0.966,0.0208,0.0014,0.0014,0.0006,0.0001,0.0097
001-148,neutral,0.5447,0.2026,0.0006,0.0343,0.0005,0.0031,0.2142
001-149,neutral,0.9296,0.0061,0.0136,0.0011,0.0445,0.0002,0.0048
001-150,neutral,0.9268,0.0362,0.0008,0.0016,0.0051,0.0003,0.0292
001-151,fear,0.8547,0.027,0.0012,0.0044,0.0938,0.0031,0.0157
001-152,fear,0.2317,0.1323,0.0066,0.1096,0.1015,0.2616,0.1567
001-153,fear,0.4679,0.0714,0.0519,0.0588,0.3387,0.0088,0.0025
001-155,fear,0.1689,0.0039,0.0022,0.0093,0.005,0.7909,0.0198
001-156,fear,0.3478,0.1641,0.0051,0.2877,0.0053,0.0708,0.1192
001-157,fear,0.9199,0.0045,0.0466,0.0025,0.0212,0.0012,0.0041
001-158,fear,0.947,0.0091,0.0023,0.0012,0.0375,0.0003,0.0026
001-162,fear,0.2368,0.5029,0.0703,0.0788,0.0831,0.0024,0.0257
001-165,fear,0.1134,0.0477,0.6725,0.1388,0.0036,0.022,0.002
001-166,fear,0.0186,0.9627,0.0003,0.004,0.0009,0.0037,0.0099
001-167,fear,0.8752,0.0356,0.0025,0.0082,0.0737,0.0012,0.0036
001-168,fear,0.1453,0.0231,0.001,0.14,0.006,0.6361,0.0484
001-169,fear,0.0058,0.0113,0.0015,0.1375,0.0011,0.8406,0.0021
001-170,fear,0.6529,0.0295,0.0196,0.2452,0.0203,0.0309,0.0016
001-171,fear,0.5625,0.1566,0.0003,0.0141,0.0008,0.0078,0.2578
001-173,fear,0.5327,0.0586,0.0014,0.1856,0.0015,0.197,0.0233
001-176,fear,0.7073,0.0189,0.0277,0.0257,0.0043,0.1876,0.0285
001-177,fear,0.9681,0.0029,0.0031,0.0013,0.0178,0.0005,0.0063
001-178,fear,0.2402,0.2903,0.0379,0.4148,0.0049,0.0037,0.0083
001-181,fear,0.026,0.0982,0.0022,0.5463,0.0654,0.2465,0.0154
001-182,fear,0.1536,0.0057,0.0007,0.5062,0.009,0.3212,0.0036
001-191,fear,0.741,0.0428,0.0041,0.045,0.1511,0.0047,0.0113
001-192,fear,0.9638,0.0113,0.0029,0.0021,0.017,0.0003,0.0026
001-193,fear,0.0798,0.8071,0.0002,0.0758,0.0005,0.0234,0.0131
001-194,fear,0.1009,0.1436,0.0008,0.1423,0.0013,0.2861,0.325
001-195,fear,0.3737,0.0284,0.0007,0.0045,0.5904,0.0005,0.0019
001-196,fear,0.4574,0.2174,0.0024,0.0062,0.2901,0.0006,0.0258
001-197,fear,0.0417,0.0024,0.0002,0.0176,0.0009,0.9272,0.01
001-198,fear,0.7773,0.003,0.0345,0.0052,0.1747,0.0014,0.0037
001-199,fear,0.3862,0.1442,0.0005,0.0118,0.427,0.0003,0.0298
001-200,fear,0.9472,0.0018,0.0039,0.0012,0.0432,0.0005,0.0023
001-202,disgust,0.1967,0.123,0.0009,0.459,0.0007,0.1942,0.0255
001-203,disgust,0.1288,0.0141,0.0011,0.0392,0.0006,0.7466,0.0696
001-204,disgust,0.9156,0.0147,0.0119,0.0264,0.027,0.0022,0.0022
001-206,disgust,0.8634,0.0436,0.0008,0.0025,0.0022,0.0004,0.0872
001-208,disgust,0.1157,0.8729,0.0001,0.0023,0.0003,0.0002,0.0084
001-209,disgust,0.3226,0.1417,0.0206,0.4572,0.0032,0.0152,0.0394
001-210,disgust,0.6304,0.0223,0.3062,0.0152,0.021,0.0015,0.0033
001-211,disgust,0.142,0.0194,0.7808,0.0211,0.0271,0.0068,0.0028
001-212,disgust,0.477,0.0368,0.0239,0.4258,0.0304,0.0044,0.0016
001-213,disgust,0.6592,0.0394,0.016,0.2547,0.0089,0.0184,0.0033
001-214,disgust,0.2484,0.4022,0.0016,0.0023,0.2706,0.0008,0.0741
001-215,disgust,0.7841,0.0907,0.0053,0.0092,0.0085,0.0035,0.0988
001-217,disgust,0.9346,0.01,0.0322,0.004,0.0156,0.0011,0.0024
001-219,disgust,0.7812,0.0574,0.0334,0.0243,0.0985,0.0015,0.0037
001-220,disgust,0.0705,0.9215,0.0002,0.0023,0.0008,0.0003,0.0045
001-221,disgust,0.5229,0.2352,0.004,0.0049,0.0067,0.0015,0.2248
001-223,disgust,0.5393,0.0892,0.3017,0.0085,0.0104,0.0016,0.0494
001-224,disgust,0.8236,0.0506,0.0138,0.0144,0.094,0.001,0.0027
001-225,disgust,0.0348,0.0227,0.0006,0.0011,0.94,0.0002,0.0006
001-226,disgust,0.8505,0.0053,0.0181,0.002,0.1202,0.0005,0.0034
001-237,disgust,0.9432,0.0094,0.0037,0.0019,0.0228,0.0008,0.0182
001-241,disgust,0.9481,0.0129,0.0043,0.0022,0.0209,0.0003,0.0113
001-242,disgust,0.2636,0.3804,0.0011,0.0037,0.0025,0.0006,0.3481
001-243,disgust,0.0384,0.9544,0.0002,0.0024,0.001,0.0004,0.0032
001-244,disgust,0.2654,0.0972,0.0028,0.6071,0.0037,0.0151,0.0087
001-245,disgust,0.6786,0.0995,0.1036,0.045,0.0287,0.0015,0.0431
001-246,disgust,0.4414,0.2462,0.1624,0.0049,0.0783,0.0013,0.0654
001-247,disgust,0.5748,0.0182,0.0062,0.1765,0.2186,0.004,0.0017
001-248,disgust,0.9401,0.0181,0.0103,0.0031,0.0266,0.0003,0.0015
001-249,disgust,0.3357,0.0384,0.0041,0.0431,0.0109,0.5372,0.0306
001-250,disgust,0.6652,0.2134,0.019,0.028,0.0452,0.0028,0.0264
001-251,angry,0.1397,0.8145,0.0138,0.0077,0.0043,0.0006,0.0194
001-252,angry,0.6351,0.2136,0.003,0.0211,0.001,0.0016,0.1245
001-254,angry,0.0413,0.1382,0.0008,0.0039,0.8107,0.0007,0.0043
001-255,angry,0.1982,0.7746,0.0009,0.0031,0.0013,0.0007,0.0213
001-256,angry,0.9122,0.0318,0.0405,0.0036,0.0032,0.0007,0.008
001-257,angry,0.0207,0.9744,0.0001,0.0021,0.0001,0.0001,0.0024
001-258,angry,0.008,0.0364,0.0007,0.3518,0.0003,0.5978,0.0051
001-259,angry,0.6215,0.0737,0.1441,0.0355,0.1129,0.0066,0.0056
001-260,angry,0.7512,0.0508,0.0779,0.0293,0.0809,0.0034,0.0066
001-261,angry,0.9372,0.0162,0.0048,0.0033,0.0348,0.0006,0.003
001-262,angry,0.0165,0.9685,0.002,0.0045,0.0057,0.0005,0.0023
001-264,angry,0.2458,0.7088,0.0008,0.0085,0.0144,0.0004,0.0213
001-266,angry,0.0161,0.0273,0.0041,0.8996,0.0003,0.051,0.0017
001-268,angry,0.2956,0.6373,0.0012,0.0083,0.0018,0.0014,0.0544
001-270,angry,0.0099,0.0283,0.0011,0.4105,0.0004,0.5482,0.0017
001-271,angry,0.4723,0.0404,0.0047,0.0144,0.0169,0.0017,0.4496
001-272,angry,0.4044,0.0226,0.1044,0.3301,0.0177,0.1188,0.0021
001-274,angry,0.0117,0.9649,0.0007,0.0169,0.0001,0.0012,0.0045
001-275,angry,0.8831,0.0081,0.0865,0.0057,0.0053,0.0017,0.0095
001-277,angry,0.4365,0.1321,0.0063,0.3178,0.0016,0.0614,0.0445
001-287,angry,0.1244,0.459,0.0015,0.0301,0.0002,0.0044,0.3804
001-288,angry,0.4005,0.5845,0.002,0.0065,0.001,0.0011,0.0042
001-291,angry,0.0631,0.8508,0.0002,0.0094,0.0003,0.0009,0.0753
001-292,angry,0.0711,0.8973,0.0015,0.0031,0.0234,0.0003,0.0034
001-293,angry,0.0759,0.9067,0.0002,0.0043,0.0002,0.0004,0.0123
001-294,angry,0.4355,0.0859,0.2377,0.1354,0.0117,0.0677,0.0261
001-295,angry,0.5942,0.0633,0.2124,0.061,0.0517,0.011,0.0064
001-296,angry,0.5533,0.4128,0.0141,0.0105,0.0067,0.0005,0.0022
001-297,angry,0.0932,0.7995,0.0012,0.0475,0.001,0.0045,0.053
001-299,angry,0.6252,0.2251,0.0802,0.0486,0.01,0.0058,0.0052
001-300,angry,0.0806,0.636,0.006,0.0126,0.2605,0.0019,0.0024
001-301,sad,0.6511,0.0034,0.1438,0.003,0.1912,0.001,0.0064
001-302,sad,0.0218,0.0035,7.51E-05,0.0007,0.9735,0.0003,0.0002
001-305,sad,0.5007,0.0047,0.1452,0.0036,0.3405,0.0013,0.0039
001-306,sad,0.5679,0.0065,0.284,0.004,0.1313,0.0021,0.0041
